Municipios ,IAG0001,IAG2006,IAG2013,IES0001,IES2004,IFE1001,IRS0001,IRS1004,IRS3002,IAP0002,IFD0010,IGR0002
Cabo de Santo Agostinho,77.02,222.39,61.17,11.94,100,5.21,89.1,1.89,0,48.78,0,0.2
Caruaru,95.47,163.89,26.29,47.47,100,4.2,97.76,1.23,0,16.27,27.18,0
Jaboatão dos Guararapes,71.1,210.19,46.2,21.47,100,5.41,97.82,1.21,0,47.27,87.95,0.17
Olinda,88.51,186.97,45.44,37.38,100,5.37,99.02,0.8,0,40.82,14.43,0
Paulista,81.68,155.68,40.57,40.26,100,4.68,95.16,1.49,0,21.28,0,0
Petrolina,76.64,180.39,30.17,66.82,100,3.55,100,1.18,100,7.74,0,0.01
Recife,82.01,232.52,48.2,41.59,99.74,6.52,98.39,1.57,0,68.5,1.52,0
Alagoinhas,93.69,119.3,61.99,29.8,68.04,4.54,93,0.69,0,28.62,0,0.03
Barreiras,94.84,144.8,27.08,76.62,100,5.65,80.57,1.12,0,4.69,9.53,0
Camaçari,95.39,154.94,50.99,46.5,99.61,4.38,95.96,1.89,0,27.63,21.31,0
Feira de Santana,90.72,124.69,36.41,54.31,99.95,5.03,100,1.87,0,12.5,70.05,0
Ilhéus,87.39,129.6,34.79,59.44,100,5.44,58.19,1.37,0,48.91,0,0.66
Itabuna,93.88,150.73,43.005,76.31,34.12,1.24,94.47,2.97,0,5.74,2.46,1.06
Jequié,90.77,115.81,24.59,81.43,99.97,5.61,100,0.14,0,1.5,28.98,8.16
Juazeiro,97.91,146.52,37.05,82.52,64.41,1.07,81.21,1.34,100,3.14,0,0
Lauro de Freitas,98.65,164.01,47.39,40.48,97.62,3.38,100,1.17,0,50.04,8.91,0
Porto Seguro,76.88,98.65,31.57,61.77,100,6.03,82.33,1.32,0,5.3,0,0.02
Salvador,98.26,139.64,54.47,88.45,97.6,5.95,100,1.68,0,52.32,48.9,0
Vitória da Conquista,96.8,111.55,26.63,83.25,100,5.25,95.81,0.98,0,13.35,0.6,0.12
